Date,Date,Close,Open,High,Low,Volume,ROI
2013-01-02,2013-01-02,41.45,41.38,41.84,41.15,9438,1.1257
2013-01-03,2013-01-03,41.45,41.53,41.68,41.22,9275,0.0
2013-01-04,2013-01-04,41.84,41.68,41.91,41.45,10912,0.9276
2013-01-07,2013-01-07,41.38,41.45,41.68,41.22,7535,-1.1029
2013-01-08,2013-01-08,41.3,41.22,41.68,41.15,4368,-0.1859
2013-01-09,2013-01-09,41.15,41.3,41.68,41.15,4635,-0.3724
2013-01-10,2013-01-10,41.99,41.53,41.99,41.3,8734,2.0561
2013-01-11,2013-01-11,41.99,42.07,42.07,41.76,4753,0.0
2013-01-14,2013-01-14,41.91,41.68,41.91,41.3,5055,-0.1832
2013-01-15,2013-01-15,41.61,41.53,41.84,41.15,5702,-0.7339
2013-01-16,2013-01-16,40.61,41.68,41.68,40.61,8509,-2.403
2013-01-17,2013-01-17,39.84,40.84,40.84,39.84,13972,-1.8939
2013-01-18,2013-01-18,40.22,39.99,40.3,39.76,10877,0.9653
2013-01-21,2013-01-21,39.84,40.22,40.22,39.61,4929,-0.956
2013-01-22,2013-01-22,40.53,39.99,40.61,39.84,10928,1.7375
2013-01-23,2013-01-23,39.76,40.45,40.45,39.53,13619,-1.8975
2013-01-24,2013-01-24,40.07,39.68,40.22,39.38,12547,0.7737
2013-01-25,2013-01-25,39.68,39.68,39.84,39.22,11741,-0.9597
2013-01-28,2013-01-28,39.76,39.68,39.91,39.38,5360,0.1938
2013-01-29,2013-01-29,40.15,39.61,40.15,39.53,9496,0.9671
2013-01-30,2013-01-30,39.76,39.99,40.15,39.68,11802,-0.9579
2013-01-31,2013-01-31,39.84,40.07,40.07,39.61,6827,0.1934
2013-02-01,2013-02-01,39.99,39.84,39.99,39.53,7165,0.3861
2013-02-04,2013-02-04,40.15,39.99,40.22,39.68,10226,0.3846
2013-02-05,2013-02-05,39.68,40.15,40.15,39.61,10861,-1.1494
2013-02-06,2013-02-06,39.61,39.99,40.22,39.61,13368,-0.1938
2013-02-18,2013-02-18,39.45,40.15,40.15,39.45,10717,-0.3883
2013-02-19,2013-02-19,39.76,39.99,39.99,39.61,8243,0.7797
2013-02-20,2013-02-20,40.91,40.07,40.99,39.99,16659,2.9014
2013-02-21,2013-02-21,41.38,40.91,41.76,40.76,18786,1.1278
2013-02-22,2013-02-22,42.22,41.61,42.61,41.61,18360,2.0446
2013-02-23,2013-02-23,41.91,42.3,42.45,41.84,4743,-0.7286
2013-02-25,2013-02-25,42.07,41.99,42.53,41.38,16635,0.36700000000000005
2013-02-26,2013-02-26,42.22,41.99,42.76,41.99,13995,0.3656
2013-02-27,2013-02-27,42.68,42.68,43.38,42.38,17552,1.0929
2013-03-01,2013-03-01,44.07,42.76,44.07,42.76,13511,3.2432
2013-03-04,2013-03-04,43.45,43.91,43.99,43.07,10471,-1.3962
2013-03-05,2013-03-05,43.84,43.84,44.45,43.38,8428,0.885
2013-03-06,2013-03-06,45.14,43.68,45.14,43.68,12799,2.9825
2013-03-07,2013-03-07,45.84,45.07,46.45,44.91,12342,1.5332
2013-03-08,2013-03-08,45.99,45.99,46.07,45.14,7303,0.3356
2013-03-11,2013-03-11,46.07,45.84,46.22,45.22,11782,0.1672
2013-03-12,2013-03-12,45.3,45.91,46.07,45.07,6095,-1.6694
2013-03-13,2013-03-13,45.84,45.68,45.99,45.45,9427,1.1885
2013-03-14,2013-03-14,45.76,45.84,45.99,45.38,6188,-0.1678
2013-03-15,2013-03-15,44.84,45.76,45.84,44.84,11016,-2.0168
2013-03-18,2013-03-18,45.84,45.3,46.53,45.22,18246,2.2298
2013-03-19,2013-03-19,45.22,45.99,46.07,45.14,7813,-1.3423
2013-03-20,2013-03-20,44.76,45.22,45.22,44.22,8742,-1.0204
2013-03-21,2013-03-21,45.3,44.99,45.61,44.38,5078,1.2027
2013-03-22,2013-03-22,45.61,45.45,45.84,44.99,5042,0.6791
2013-03-25,2013-03-25,45.76,46.07,46.22,45.45,6425,0.3373
2013-03-26,2013-03-26,45.07,45.76,45.84,45.07,9476,-1.5126
2013-03-27,2013-03-27,43.76,44.61,44.61,43.22,25295,-2.9010000000000002
2013-03-28,2013-03-28,43.61,43.53,43.84,43.3,15228,-0.3515
2013-03-29,2013-03-29,43.53,44.22,44.22,43.38,7089,-0.1764
2013-04-01,2013-04-01,44.14,43.61,44.45,43.61,6425,1.4134
2013-04-02,2013-04-02,43.84,44.22,44.68,43.84,9920,-0.6969
2013-04-03,2013-04-03,43.84,43.99,44.14,43.76,10045,0.0
2013-04-08,2013-04-08,42.45,43.45,43.45,42.45,16384,-3.1579
2013-04-09,2013-04-09,43.07,42.99,43.22,42.76,9746,1.4493
2013-04-10,2013-04-10,43.22,43.14,43.45,42.99,12618,0.3571
2013-04-11,2013-04-11,45.76,43.68,45.76,43.3,22165,5.8719
2013-04-12,2013-04-12,45.38,45.76,45.76,44.76,16678,-0.8403
2013-04-15,2013-04-15,45.45,45.38,45.68,45.07,11256,0.1695
2013-04-16,2013-04-16,45.07,45.07,45.68,44.91,7437,-0.846
2013-04-17,2013-04-17,44.99,45.22,45.53,44.84,11324,-0.1706
2013-04-18,2013-04-18,44.07,44.99,44.99,43.99,9229,-2.0513
2013-04-19,2013-04-19,44.91,44.22,45.14,44.14,8246,1.9197
2013-04-22,2013-04-22,44.99,45.07,45.38,44.68,7153,0.1712
2013-04-23,2013-04-23,44.76,44.61,44.99,44.61,4759,-0.5128
2013-04-24,2013-04-24,45.53,44.68,45.91,44.68,8915,1.7182
2013-04-25,2013-04-25,45.53,45.53,45.76,45.22,7200,0.0
2013-04-26,2013-04-26,44.99,45.68,45.76,44.76,7273,-1.1824
2013-04-29,2013-04-29,44.61,45.3,45.3,44.45,6204,-0.8547
2013-04-30,2013-04-30,44.68,44.61,45.07,44.45,10368,0.1724
2013-05-02,2013-05-02,44.68,44.68,45.22,44.61,5185,0.0
2013-05-03,2013-05-03,45.84,44.84,45.91,44.84,10419,2.5818
2013-05-06,2013-05-06,44.99,45.99,46.3,44.99,8465,-1.8456
2013-05-07,2013-05-07,44.99,45.07,45.38,44.99,3970,0.0
2013-05-08,2013-05-08,46.14,45.14,46.14,45.14,9873,2.5641
2013-05-09,2013-05-09,46.45,46.14,46.91,46.07,7260,0.6667
2013-05-10,2013-05-10,46.22,46.45,46.53,45.99,4190,-0.4967
2013-05-13,2013-05-13,45.99,45.99,46.14,45.38,3716,-0.4992
2013-05-14,2013-05-14,45.38,46.22,46.53,45.38,5242,-1.3378
2013-05-15,2013-05-15,45.84,45.84,46.37,45.68,6447,1.0169
2013-05-16,2013-05-16,45.99,46.07,46.22,45.38,9138,0.3356
2013-05-17,2013-05-17,46.22,45.84,46.22,45.84,3728,0.5017
2013-05-20,2013-05-20,46.45,46.37,46.45,46.22,5773,0.4992
2013-05-21,2013-05-21,46.61,46.45,46.84,46.14,4690,0.3311
2013-05-22,2013-05-22,46.68,46.53,46.84,46.45,5850,0.165
2013-05-23,2013-05-23,46.76,46.68,46.99,46.14,9758,0.1647
2013-05-24,2013-05-24,46.3,46.76,46.84,45.68,8606,-0.9868
2013-05-27,2013-05-27,46.45,46.45,46.45,45.91,5379,0.3322
2013-05-28,2013-05-28,45.91,46.45,46.45,45.91,4550,-1.1589
2013-05-29,2013-05-29,46.3,46.14,46.61,46.07,5700,0.8375
2013-05-30,2013-05-30,45.38,46.3,46.3,45.38,6981,-1.9934
2013-05-31,2013-05-31,45.53,45.45,45.84,45.38,9606,0.33899999999999997
2013-06-03,2013-06-03,44.22,44.22,44.53,43.84,15333,-2.8716
2013-06-04,2013-06-04,43.91,44.22,44.53,43.91,7529,-0.6957
2013-06-05,2013-06-05,44.22,43.84,44.22,43.14,8544,0.7005
2013-06-06,2013-06-06,44.22,43.84,44.22,43.53,7058,0.0
2013-06-07,2013-06-07,44.61,43.76,44.84,43.61,7752,0.8696
2013-06-10,2013-06-10,45.14,44.38,45.61,44.38,10493,1.2069
2013-06-11,2013-06-11,44.07,45.14,45.45,44.07,8146,-2.385
2013-06-13,2013-06-13,44.53,43.84,44.61,43.61,10155,1.0471
2013-06-14,2013-06-14,44.84,44.22,44.84,43.84,8248,0.6908
2013-06-17,2013-06-17,45.22,44.99,45.76,44.61,6135,0.8576
2013-06-18,2013-06-18,45.07,45.07,45.45,44.99,6029,-0.3401
2013-06-19,2013-06-19,45.07,45.38,45.61,44.84,7091,0.0
2013-06-20,2013-06-20,44.61,45.07,45.07,44.61,5032,-1.0239
2013-06-21,2013-06-21,44.76,44.22,44.99,43.91,10027,0.3448
2013-06-24,2013-06-24,44.76,44.84,45.14,44.14,10986,0.0
2013-06-25,2013-06-25,43.91,44.61,44.99,43.76,8811,-1.89
2013-06-26,2013-06-26,44.91,44.61,44.99,44.22,12114,2.2767
2013-06-27,2013-06-27,44.91,44.91,45.07,44.53,10421,0.0
2013-06-28,2013-06-28,44.91,44.99,44.99,44.61,12353,0.0
2013-07-01,2013-07-01,44.84,45.07,45.22,44.84,14974,-0.1712
2013-07-02,2013-07-02,44.3,44.99,45.07,44.3,6671,-1.2007
2013-07-03,2013-07-03,44.61,44.61,44.91,44.38,9742,0.6944
2013-07-04,2013-07-04,44.53,44.61,44.91,44.3,8330,-0.1724
2013-07-05,2013-07-05,44.76,44.61,45.14,44.61,7208,0.5181
2013-07-08,2013-07-08,44.68,44.91,45.14,44.53,13566,-0.1718
2013-07-09,2013-07-09,45.45,44.68,45.45,44.53,13762,1.7212
2013-07-10,2013-07-10,45.68,45.45,46.07,45.45,17520,0.5076
2013-07-11,2013-07-11,46.22,45.76,46.37,45.76,13130,1.1785
2013-07-12,2013-07-12,46.37,46.22,46.53,46.07,7549,0.3328
2013-07-15,2013-07-15,48.14,46.22,48.14,46.22,16469,3.8143
2013-07-16,2013-07-16,49.99,48.14,49.99,48.14,19188,3.8339
2013-07-17,2013-07-17,50.22,49.99,50.76,49.07,13843,0.4615
2013-07-18,2013-07-18,50.6,49.99,50.6,49.45,12002,0.7657
2013-07-19,2013-07-19,50.53,50.37,50.76,49.6,11925,-0.152
2013-07-22,2013-07-22,50.91,50.6,52.53,50.53,15050,0.7609999999999999
2013-07-23,2013-07-23,51.6,51.3,51.6,50.76,15512,1.3595
2013-07-24,2013-07-24,49.07,50.76,51.14,48.3,22125,-4.918
2013-07-25,2013-07-25,48.22,48.45,48.91,47.68,13183,-1.7241
2013-07-26,2013-07-26,48.3,48.45,48.99,48.07,8535,0.1595
2013-07-29,2013-07-29,47.53,48.3,48.53,47.53,5872,-1.5924
2013-07-30,2013-07-30,47.84,47.53,48.14,47.37,10438,0.6472
2013-07-31,2013-07-31,47.07,47.84,47.84,47.07,10827,-1.6077
2013-08-01,2013-08-01,46.76,47.07,47.61,46.68,8979,-0.6536
2013-08-02,2013-08-02,47.76,47.37,48.3,47.07,9960,2.1382
2013-08-05,2013-08-05,48.61,47.76,48.91,46.76,11993,1.7713
2013-08-06,2013-08-06,47.91,48.14,48.76,47.53,12164,-1.4241
2013-08-07,2013-08-07,47.3,47.53,48.07,46.76,23357,-1.2841
2013-08-08,2013-08-08,47.31,47.89,48.06,47.31,27160,0.0033
2013-08-09,2013-08-09,46.72,47.56,47.56,46.56,9487,-1.2346
2013-08-12,2013-08-12,45.97,46.72,46.72,45.72,17359,-1.6071
2013-08-13,2013-08-13,45.3,46.14,46.3,45.22,14722,-1.4519
2013-08-14,2013-08-14,45.72,45.22,46.22,45.05,13311,0.9208
2013-08-15,2013-08-15,44.22,45.3,45.3,44.22,23145,-3.2847
2013-08-16,2013-08-16,44.22,43.97,44.39,43.47,18194,0.0
2013-08-19,2013-08-19,43.8,44.22,44.22,43.47,11154,-0.9434
2013-08-20,2013-08-20,43.89,44.3,44.64,43.89,7891,0.1905
2013-08-22,2013-08-22,43.55,43.55,43.89,43.22,16063,-0.7605
2013-08-23,2013-08-23,44.22,43.97,44.3,43.47,10025,1.5326
2013-08-26,2013-08-26,44.97,44.3,45.72,44.22,11481,1.6981
2013-08-27,2013-08-27,44.14,44.89,44.89,44.14,11701,-1.8553
2013-08-28,2013-08-28,44.8,43.8,44.8,43.63,6676,1.5123
2013-08-29,2013-08-29,45.05,44.97,45.39,44.8,7520,0.5587
2013-08-30,2013-08-30,45.47,45.05,45.47,44.8,8407,0.9259
2013-09-02,2013-09-02,45.05,45.22,45.39,45.05,7088,-0.9174
2013-09-03,2013-09-03,45.55,45.64,45.8,45.22,6224,1.1111
2013-09-04,2013-09-04,45.72,45.55,45.72,45.22,4636,0.3663
2013-09-05,2013-09-05,46.3,45.89,46.3,45.72,8367,1.2774
2013-09-06,2013-09-06,45.72,46.3,46.3,45.72,6393,-1.2613
2013-09-09,2013-09-09,46.3,45.47,46.3,45.05,11066,1.2774
2013-09-10,2013-09-10,47.06,46.64,47.06,46.39,10277,1.6216
2013-09-11,2013-09-11,47.06,47.14,47.22,46.56,9371,0.0
2013-09-12,2013-09-12,48.56,47.14,48.64,47.06,13655,3.1915
2013-09-13,2013-09-13,47.14,48.22,48.31,47.14,14429,-2.9210000000000003
2013-09-14,2013-09-14,47.14,47.14,47.89,47.14,3792,0.0
2013-09-16,2013-09-16,47.72,47.47,48.14,47.47,9668,1.2389
2013-09-17,2013-09-17,48.06,47.72,48.06,47.56,7449,0.6993
2013-09-18,2013-09-18,47.31,47.97,48.14,47.31,6414,-1.5625
2013-09-23,2013-09-23,47.31,47.22,47.81,47.14,10506,0.0
